Metodo,N,Tiempo,Lenguaje
Iterativo,5,0.000002,C
Recursivo,5,0.000001,C
Iterativo,5,2.1457672119140625e-06,Python
Recursivo,5,1.6689300537109375e-06,Python
Iterativo,10,0.000001,C
Recursivo,10,0.000001,C
Iterativo,10,2.86102294921875e-06,Python
Recursivo,10,2.1457672119140625e-06,Python
Iterativo,50,0.000001,C
Recursivo,50,0.000001,C
Iterativo,50,5.245208740234375e-06,Python
Recursivo,50,5.7220458984375e-06,Python
Iterativo,100,0.000001,C
Recursivo,100,0.000001,C
Iterativo,100,9.5367431640625e-06,Python
Recursivo,100,1.3828277587890625e-05,Python
Iterativo,200,0.000002,C
Recursivo,200,0.000001,C
Iterativo,200,3.218650817871094e-05,Python
Recursivo,200,8.916854858398438e-05,Python
Iterativo,300,0.000001,C
Recursivo,300,0.000000,C
Iterativo,300,3.3855438232421875e-05,Python
Recursivo,300,8.20159912109375e-05,Python
Iterativo,400,0.000001,C
Recursivo,400,0.000001,C
Iterativo,400,5.4836273193359375e-05,Python
Recursivo,400,0.0001544952392578125,Python
Iterativo,500,0.000001,C
Recursivo,500,0.000001,C
Iterativo,500,8.106231689453125e-05,Python
Recursivo,500,0.00015020370483398438,Python
Iterativo,995,0.000001,C
Recursivo,995,0.000000,C
Iterativo,995,0.0002713203430175781,Python
Recursivo,995,0.00041413307189941406,Python
